width,height,position.x,position.y,color_r,color_g,color_b,color_a,type_oval,type_rectangle,type_shapePath,type_symbolInstance,type_text,type_bitmap,type_triangle,type_slice,type_group,type_polygon,type_star,Cluster
0.25195312499999994,1.0,0.6146256529309344,0.0,0.27058825,0.1254902,0.043137256,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,-1
0.22200520833333334,1.0,0.6117237376668602,0.0,0.84705883,0.84705883,0.84705883,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,-1
0.39713541666666663,0.3980392156862745,0.3975623911781776,0.0,0.43529412,0.19607843,0.101960786,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,-1
0.26562499999999994,1.0,0.0,0.0,0.15294118,0.17254902,0.19215687,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.2825520833333333,1.0,0.7440510737086478,0.0,0.84705883,0.84705883,0.84705883,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.12369791666666664,1.0,1.0,0.0,0.15294118,0.17254902,0.19215687,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.0482573726541555,0.07452339688041594,0.04539007092198582,0.27568042142230026,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,-1
0.11231393775372125,0.9494949494949495,0.9290882778581765,0.48253968253968255,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1.0,0.36056338028169016,0.9999999999999999,0.15693430656934304,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,-1
1.0,0.36056338028169016,0.5906735751295337,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,-1
1.0,0.9999999999999999,1.0,0.15693430656934304,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,-1
1.0,0.9999999999999999,0.5074812967581047,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,-1
0.12037037037037036,0.5588235294117647,0.24438902743142146,0.2642335766423357,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,-1
0.12037037037037036,0.5588235294117647,0.06109725685785535,0.2642335766423357,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,-1
0.7517401392111369,0.5493562231759657,1.0000000000000002,0.12092238470191227,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,-1
0.7517401392111369,0.5493562231759657,0.4958519463943842,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,-1
0.7517401392111369,1.0,0.9999999999999999,0.19624217118997914,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,-1
0.16421895861148197,0.06976744186046512,0.2597402597402597,0.2767162066525124,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,-1
0.14015151515151517,0.029617441382147263,0.5380434782608695,0.16940363007778736,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,-1
0.13404825737265416,0.07589285714285714,0.649025069637883,0.23934837092731828,0.0,0.0,0.0,0.5294118,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.13404825737265416,0.07589285714285714,0.649025069637883,0.26691729323308266,0.0,0.0,0.0,0.5294118,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
