color_r,color_g,color_b,color_a,type_oval,type_rectangle,type_shapePath,type_symbolInstance,type_text,type_bitmap,type_triangle,type_slice,type_group,type_polygon,type_star,Cluster
0.5764706,0.9490196,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,-1
0.5764706,0.9490196,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,-1
0.14509805,0.8901961,0.92156863,1.0,0,0,0,0,0,1,0,0,0,0,0,-1
0.13333334,0.13333334,0.13333334,0.29803923,1,0,0,0,0,0,0,0,0,0,0,-1
0.13333334,0.13333334,0.13333334,0.29803923,1,0,0,0,0,0,0,0,0,0,0,-1
0.13333334,0.13333334,0.13333334,0.29803923,1,0,0,0,0,0,0,0,0,0,0,-1
0.0,0.0,0.0,0.4,0,0,1,0,0,0,0,0,0,0,0,-1
0.37254903,0.27058825,0.5686275,1.0,0,1,0,0,0,0,0,0,0,0,0,-1
0.83137256,0.49803922,0.6509804,1.0,0,1,0,0,0,0,0,0,0,0,0,-1
0.30980393,0.5529412,0.79607844,1.0,0,0,0,0,1,0,0,0,0,0,0,-1
0.30980393,0.5529412,0.79607844,1.0,0,0,0,0,1,0,0,0,0,0,0,-1
0.5411765,0.3372549,0.6745098,1.0,0,0,0,0,1,0,0,0,0,0,0,-1
0.5411765,0.3372549,0.6745098,1.0,0,0,0,0,1,0,0,0,0,0,0,-1
0.37254903,0.27058825,0.5686275,1.0,0,0,0,0,1,0,0,0,0,0,0,-1
0.37254903,0.27058825,0.5686275,1.0,0,0,0,0,1,0,0,0,0,0,0,-1
0.37254903,0.27058825,0.5686275,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.58431375,0.6,0.7019608,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.23137255,0.21568628,0.87058824,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.22745098,0.21176471,0.8627451,1.0,1,0,0,0,0,0,0,0,0,0,0,-1
0.23137255,0.21568628,0.87058824,0.101960786,0,1,0,0,0,0,0,0,0,0,0,-1
