width,height,position.x,position.y,color_r,color_g,color_b,color_a,type_oval,type_rectangle,type_shapePath,type_symbolInstance,type_text,Cluster
0.06049822064056939,0.16814159292035397,0.33718689788053946,0.5355587808417998,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.06049822064056939,0.15929203539823006,0.09633911368015413,0.5370101596516691,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.06049822064056939,0.3185840707964602,0.019267822736030837,0.5108853410740204,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
1.0,0.0,0.5163776493256262,0.27866473149492016,0.11372549,0.11372549,0.15686275,1,0,1,0,0,0,-1
0.4199288256227758,0.061946902654867256,0.5163776493256262,0.239477503628447,1.0,1.0,1.0,1,0,1,0,0,0,1
0.06049822064056939,0.19469026548672563,0.0770712909441233,0.5312046444121916,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.1494661921708185,0.3805309734513274,0.3853564547206165,0.8113207547169812,1.0,1.0,1.0,1,0,1,0,0,0,1
0.0498220640569395,0.1327433628318584,0.7263969171483622,0.8548621190130624,0.11764706,0.5647059,1.0,1,1,0,0,0,0,-1
0.03202846975088968,0.1415929203539823,0.7976878612716762,0.5341074020319304,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.1494661921708185,0.3805309734513274,0.3853564547206165,0.30914368650217705,1.0,1.0,1.0,1,0,1,0,0,0,1
0.03558718861209965,0.1415929203539823,0.6339113680154143,0.9985486211901307,1.0,1.0,1.0,1,0,0,1,0,0,-1
1.0,0.7522123893805309,0.5163776493256262,0.6574746008708273,0.11372549,0.11372549,0.15686275,1,0,1,0,0,0,-1
0.03202846975088968,0.16814159292035397,0.5568400770712909,0.5297532656023223,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.03202846975088968,0.11504424778761062,0.9229287090558767,0.5384615384615385,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.1779359430604982,0.10619469026548672,0.5183044315992292,0.3178519593613933,0.0,0.0,0.0,0,0,0,0,0,1,2
0.1494661921708185,0.3805309734513274,0.9306358381502889,0.9767779390420901,0.16862746,0.16862746,0.23921569,1,1,0,0,0,0,-1
0.0,0.10619469026548672,0.5163776493256262,0.5399129172714079,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.06049822064056939,0.17699115044247787,0.2215799614643545,0.5341074020319304,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.4483985765124555,0.3805309734513274,0.5780346820809248,0.9767779390420901,1.0,1.0,1.0,1,0,1,0,0,0,-1
0.06049822064056939,0.19469026548672563,0.4142581888246628,0.5312046444121916,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.03202846975088968,0.11504424778761062,0.8362235067437379,0.5384615384615385,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.06049822064056939,0.20353982300884954,0.36608863198458574,0.5297532656023223,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.03202846975088968,0.22123893805309736,0.7495183044315992,0.521044992743106,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.06049822064056939,0.22123893805309736,0.2890173410404624,0.5268505079825835,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
